id,year,week,season,team,pf,pa,opp,win,loss
315,2014,13,r,AJ,106,52,Big Boy,1,0
316,2014,13,r,Nordy,116,123,Timmy,0,1
317,2014,13,r,DenR,96,145,Billy,0,1
318,2014,13,r,Chad,193,144,Rose,1,0
319,2014,13,r,The Boo,112,111,Fig,1,0
320,2014,13,r,Frankie,159,78,Taylor,1,0
321,2014,13,r,Big Boy,52,106,AJ,0,1
322,2014,13,r,Timmy,123,116,Nordy,1,0
323,2014,DC,p,DenR,86,121,Rose,0,1
324,2014,DC,p,Rose,121,86,DenR,1,0
325,2014,SF,p,The Boo,104,115,Rose,0,1
326,2014,SF,p,Big Boy,58,80,DenR,0,1
327,2014,SF,p,Rose,115,104,The Boo,1,0
328,2014,SF,p,DenR,80,58,Big Boy,1,0
329,2014,WC,p,Billy,160,162,The Boo,0,1
330,2014,WC,p,Big Boy,116,95,Chad,1,0
331,2014,WC,p,The Boo,162,160,Billy,1,0
332,2014,WC,p,Chad,95,116,Big Boy,0,1
333,2015,1,r,Timmy,78,109,Big Boy,0,1
334,2015,1,r,Billy,99,108,Rose,0,1
335,2015,1,r,The Boo,191,109,Frankie,1,0
336,2015,1,r,Fig,113,112,Chad,1,0
337,2015,1,r,DenR,103,144,Nordy,0,1
338,2015,1,r,Big Boy,109,78,Timmy,1,0
339,2015,1,r,Rose,108,99,Billy,1,0
340,2015,1,r,Frankie,109,191,The Boo,0,1
341,2015,1,r,Chad,112,113,Fig,0,1
342,2015,1,r,Nordy,144,103,DenR,1,0
343,2015,2,r,The Boo,122,149,Billy,0,1
344,2015,2,r,Big Boy,145,117,Fig,1,0
345,2015,2,r,Timmy,92,94,DenR,0,1
346,2015,2,r,Rose,158,74,Chad,1,0
347,2015,2,r,Frankie,107,70,Nordy,1,0
348,2015,2,r,Billy,149,122,The Boo,1,0
349,2015,2,r,Fig,117,145,Big Boy,0,1
350,2015,2,r,DenR,94,92,Timmy,1,0
351,2015,2,r,Chad,74,158,Rose,0,1
352,2015,2,r,Nordy,70,107,Frankie,0,1
353,2015,3,r,DenR,109,138,Fig,0,1
354,2015,3,r,Chad,118,124,Billy,0,1
355,2015,3,r,Nordy,125,118,The Boo,1,0
356,2015,3,r,Rose,145,154,Big Boy,0,1
357,2015,3,r,Frankie,148,132,Timmy,1,0
358,2015,3,r,Fig,138,109,DenR,1,0
359,2015,3,r,Billy,124,118,Chad,1,0
360,2015,3,r,The Boo,118,125,Nordy,0,1
361,2015,3,r,Big Boy,154,145,Rose,1,0
362,2015,3,r,Timmy,132,148,Frankie,0,1
363,2015,4,r,Nordy,79,93,Chad,0,1
364,2015,4,r,Fig,119,82,Rose,1,0
365,2015,4,r,DenR,82,106,Frankie,0,1
366,2015,4,r,Billy,120,133,Big Boy,0,1
367,2015,4,r,The Boo,107,89,Timmy,1,0
368,2015,4,r,Chad,93,79,Nordy,1,0
369,2015,4,r,Rose,82,119,Fig,0,1
370,2015,4,r,Frankie,106,82,DenR,1,0
371,2015,4,r,Big Boy,133,120,Billy,1,0
372,2015,4,r,Timmy,89,107,The Boo,0,1
373,2015,5,r,Frankie,93,125,Rose,0,1
374,2015,5,r,Big Boy,129,95,Chad,1,0
375,2015,5,r,Timmy,127,144,Nordy,0,1
376,2015,5,r,Billy,108,123,Fig,0,1
377,2015,5,r,The Boo,110,124,DenR,0,1
378,2015,5,r,Rose,125,93,Frankie,1,0
379,2015,5,r,Chad,95,129,Big Boy,0,1
380,2015,5,r,Nordy,144,127,Timmy,1,0
381,2015,5,r,Fig,123,108,Billy,1,0
382,2015,5,r,DenR,124,110,The Boo,1,0
383,2015,6,r,Billy,106,157,Timmy,0,1
384,2015,6,r,Fig,119,101,The Boo,1,0
385,2015,6,r,Chad,116,134,DenR,0,1
386,2015,6,r,Rose,99,98,Nordy,1,0
387,2015,6,r,Big Boy,147,97,Frankie,1,0
388,2015,6,r,Timmy,157,106,Billy,1,0
389,2015,6,r,The Boo,101,119,Fig,0,1
390,2015,6,r,DenR,134,116,Chad,1,0
391,2015,6,r,Nordy,98,99,Rose,0,1
392,2015,6,r,Frankie,97,147,Big Boy,0,1
393,2015,7,r,Timmy,132,123,Fig,1,0
394,2015,7,r,The Boo,88,128,Chad,0,1
395,2015,7,r,DenR,139,132,Rose,1,0
396,2015,7,r,Nordy,116,120,Big Boy,0,1
397,2015,7,r,Frankie,81,86,Billy,0,1
398,2015,7,r,Fig,123,132,Timmy,0,1
399,2015,7,r,Chad,128,88,The Boo,1,0
400,2015,7,r,Rose,132,139,DenR,0,1
401,2015,7,r,Big Boy,120,116,Nordy,1,0
402,2015,7,r,Billy,86,81,Frankie,1,0
403,2015,8,r,Chad,115,91,Timmy,1,0
404,2015,8,r,Rose,87,151,The Boo,0,1
405,2015,8,r,Big Boy,112,151,DenR,0,1
406,2015,8,r,Billy,109,120,Nordy,0,1
407,2015,8,r,Fig,165,77,Frankie,1,0
408,2015,8,r,Timmy,91,115,Chad,0,1
409,2015,8,r,The Boo,151,87,Rose,1,0
410,2015,8,r,DenR,151,112,Big Boy,1,0
411,2015,8,r,Nordy,120,109,Billy,1,0
412,2015,8,r,Frankie,77,165,Fig,0,1
413,2015,9,r,Timmy,172,133,Rose,1,0
414,2015,9,r,Chad,152,110,Big Boy,1,0
415,2015,9,r,Frankie,98,129,The Boo,0,1
416,2015,9,r,Fig,98,116,Billy,0,1
417,2015,9,r,Nordy,93,180,DenR,0,1
418,2015,9,r,Rose,133,172,Timmy,0,1
419,2015,9,r,Big Boy,110,152,Chad,0,1
420,2015,9,r,The Boo,129,98,Frankie,1,0
421,2015,9,r,Billy,116,98,Fig,1,0
422,2015,9,r,DenR,180,93,Nordy,1,0
423,2015,10,r,The Boo,133,80,Big Boy,1,0
424,2015,10,r,Rose,115,106,Billy,1,0
425,2015,10,r,DenR,96,96,Timmy,0,1
426,2015,10,r,Chad,134,96,Fig,1,0
427,2015,10,r,Nordy,100,95,Frankie,1,0
428,2015,10,r,Big Boy,80,133,The Boo,0,1
429,2015,10,r,Billy,106,115,Rose,0,1
430,2015,10,r,Timmy,96,96,DenR,1,0
431,2015,10,r,Fig,96,134,Chad,0,1
432,2015,10,r,Frankie,95,100,Nordy,0,1
433,2015,11,r,DenR,91,82,Billy,1,0
434,2015,11,r,Fig,56,90,Big Boy,0,1
435,2015,11,r,The Boo,105,91,Nordy,1,0
436,2015,11,r,Chad,109,83,Rose,1,0
437,2015,11,r,Timmy,80,120,Frankie,0,1
